,Full_Names,Gender
180,Nguyễn Thị Huỳnh Trang,0
181,Ngô Võ Hoàng Nam,1
182,Đồng Anh Vĩnh Cường,1
183,Nguyễn Thanh Nhàn,1
184,Mai Xuân Vinh,1
185,Nguyễn Hàm Thiệu,1
186,Tiên Ngọc Quỳnh Như,0
187,Phạm Nhật Duy,1
188,Phạm Tiến Trung,1
189,Nguyễn Thị Kim Liên,0
190,Võ Anh Thi,1
191,Huỳnh Huy,1
192,Nguyễn Thị Thu Hiền,0
193,Trần Đình Huỳnh,1
194,Nguyễn Giang Nhã Trúc,0
195,Lê Thị Thanh Huyền,0
196,Nguyễn Thị Ngọc Tuyền,0
197,Nguyễn Thái Bình,1
198,Trần Phạm Đào Minh Hiếu,1
199,Trần Quang Vinh,1
200,Nguyễn Trọng Hoàng,1
201,Dương Nguyễn Thuận,1
202,Lê Quốc An,1
203,Nguyễn Thành Hưng,1
204,Nguyễn Tú Anh,0
205,Cao Minh Hòa,1
206,Lê Minh,1
207,Nguyễn Thị Hồng Nhung,0
208,Nguyễn Thị Vi,0
209,Từ Kim Ngân,0
210,Trần Thị Ngọc Ánh,0
211,Phạm Văn Nhơn,1
212,Đạt Ngọc Tiến,1
213,Nguyễn Nhật Khang,1
214,Hồ Thị Ngọc Châu,0
215,PhạmQuốc Quân,1
216,Huỳnh Như Nguyên,1
217,Hoàng Văn Dũng,1
218,Nguyễn Ngọc Hưng,1
219,Nguyễn Ngọc Hạnh,0
220,Nguyễn Thị Thanh Trúc,0
221,Dương Thị Mỹ Trinh,0
222,Huỳnh Bảo Minh,1
223,Phan Thị Thúy Vân,0
224,Nguyễn Khánh Bảo Trân,0
225,Phạm Thu Huyền,0
226,Đỗ Tam Tài,1
227,Hà Vũ Luân,1
228,Dương Thị Thùy Dung,0
229,Kha Di Hiền,1
230,Cao Minh Thi,1
231,Vương Thị Ái Mỹ,0
232,Trần Thị Mộng Khuyên,0
233,Nguyễn Phương Linh,0
234,Lê Quang Huy,1
235,Mai Thị Minh Khoa,0
236,Trương Thị Hoài Trinh,0
237,Phạm Đức Tài,1
238,Ngô Văn Thanh,1
239,Phạm Tiến Dũng,1
240,Lê Văn Tuấn,1
241,Bùi Quang Nghĩa,1
242,Phạm Nguyễn Ngọc Đại,1
243,Chu Quỳnh Như,0
244,Nguyễn Thiện Quân,1
245,Bùi Kim Ngân,0
246,Lê Thị Hạnh,0
247,Nguyễn Duy Khang,1
248,Võ Thị Mỹ Lệ,0
249,Nguyễn Ngọc Khôi,1
250,Lê Đăng Khôi,1
251,Nguyễn Duy Khoa,1
252,Đoàn Văn Đắc,1
253,Dương Trần Sơn Long,1
254,Nguyễn Thị Kim Thoa,0
255,Cao Tài,1
256,Nguyễn Đức Tùng,1
257,Nguyễn Thị Thúy Như,0
258,Đặng Nguyễn Đức Hiếu,1
259,Huỳnh Mạnh Thịnh,1
260,Ngô Thị Trúc Đào,0
261,Huỳnh Nhật Minh,1
262,Đỗ Ngọc Thanh Xuân,0
263,Đoàn Thị Thảo Ly,0
264,Nguyễn Thị Gấm,0
265,Phan Minh Cảnh,1
266,Nguyễn Triều Tiên,1
267,Phạm Thị Bích Ngân,0
268,Phan Hoài Nam,1
269,Nguyễn Phan Khiết Thanh,0
270,Lê Dương Thu Hiền,0
271,Nguyễn Huỳnh Đức,1
272,Điểu Phong,1
273,Nguyễn Anh Tuấn,1
274,Mai Phạm Thanh Nga,0
275,Trần Thái Tuấn Anh,1
276,Hà Hoàng Phương,1
277,Hồ Quang Vinh,1
278,Lê Quyết Tiến,1
279,Huỳnh Thị Trang,0
280,Trương Hào Trình,1
281,Phạm Thị Kim Liên,0
282,Trương Hoàng Giang,1
283,Nguyễn Thùy Linh,0
284,Dương Thị Thu Hiền,0
285,Trần YẾn Vi,0
286,Đỗ Lễ Quế Sương,0
287,Nguyễn Thị Thanh Quyền,0
288,Phạm Minh Hiển,1
289,Nguyễn Thanh Sơn,1
290,Phạm Minh Khoa,1
291,Lê Ngọc Trúc Linh,0
292,Trâ Chi Kha,1
293,Đỗ Tấn Đạt,1
294,Nguyễn Quyền Lĩnh,1
295,Võ Đức Nguyên,1
296,Vũ Trần Anh Khoa,1
297,Trần Tiết Thị Thu Thanh,0
298,Đào Nguyễn Tiến Đạt,1
299,Võ Anh Huy,1
300,Hồ Thị Đài Trang,0
301,Bùi Minh Thượng,1
302,Nguyễn Gia Bảo,1
303,Trần Thị Quỳnh Trâm,0
304,Huỳnh Ngọc ThẠch,1
305,Ngô Anh Vũ,1
306,Lê Thị Diễm Quỳnh,0
307,Hoàng Vũ Trí Dũng,1
308,Lê Thị Hồng Đào,0
309,Đỗ Hồng Minh,0
310,Lê Hữu Phúc,1
311,Trần Hữu Lộc,1
312,Nguyễn Thịnh Phát,1
313,Phan Hữu Thắng,1
314,Nguyễn Tuấn Khanh,1
315,Tân Quang Yến Phương,0
316,Phan Nhật Trường,1
317,Phan Thị Ly,0
318,Trương Viết Huy Phong,1
319,Trần Ngọc Bằng,1
320,Đinh Thị Hương Giang,0
321,Nguyễn Thị Thanh Hương,0
322,Lê Trần Duy Sang,1
323,Nguyễn Thị Tường Vi,0
324,Phan Thế Tuấn,1
325,Nguyễn Phan Huỳnh Nhựt,1
326,Võ Thị Ngọc Như,0
327,Võ Thị Trâm Anh,0
328,Sơn Lan Thái Vĩnh,1
329,Võ Xuân Tiến Đạt,1
330,Nguyễn Đức Nam,1
331,Nguyễn Hồng Sơn,1
332,Phạm Hữu Hoài Tín,1
333,Phan Gia Hiếu,1
334,Cao Huỳnh Anh,1
335,Phạm Phúc Khải,1
336,Nguyễn Thị HuỆ,0
337,Lê Thị Cẩm Tú,0
338,Trương Thị Hải,0
339,Nguyễn Cao Mỹ Duyên,0
340,Hồ Thanh Hoàng,1
341,Nguyễn Duy Tâm,1
342,Trần Tuấn Khoa,1
343,Trần Minh Duy,1
344,Đoàn Thị My,0
345,Đinh Thị Thu Uyên,0
346,Đào Nguyễn Thúy Vi,0
347,Nguyễn Xuân Sang,1
348,Lê Thu Uyên,0
349,Lương Thành Hiếu,1
350,Trần Thu Hiền,0
351,Vương Thị Ngọc Huyền,0
352,Nguyễn Châu Khang,1
353,Trần Ngọc Sơn,1
354,Thị Kim Phương,0
355,Lê Anh Tuấn,1
356,Bùi Thanh Hiếu,1
357,TrỊnh Ngọc Thiên Trang,1
358,Trần Văn Nhiều,1
359,Bạch Cao Thanh Thuý,0
360,Nguyễn Võ Kim Tuyết,0
361,Trần Kim Hưng,1
362,Nguyễn Phan Hoài Lâm,1
363,Hoàng Thị Lâm Oanh,1
364,Thạch Hoàng Long,1
365,Lê Tuấn Khải,1
366,Phan Ngọc Tân,1
367,Quách Vân Anh,0
368,Lê Triệu Quốc,1
369,Đào Trí Thiện,1
370,Nguyễn Hải Đăng,1
371,Đoàn Lan Phương,0
372,Trần Đình Phương Thanh,0
373,Nguyễn Thị Trâm,0
374,Mai Anh Phong,1
375,Lê Thanh Bình,1
376,Phạm Tấn Vinh,1
377,Trần Thị Hồng Hạnh,0
378,Đỗ Thành Trung,1
379,Nguyễn Thị Thảo Nhi,0
380,Cao Minh Đức,1
381,Nguyễn Xuân Đạt,1
382,Dư Gia Huy,1
383,Lương Phú An,1
384,Lê Đức Vinh,1
385,Trần Thị Mỹ Linh,0
386,Nguyễn Ngọc Yến,0
387,Đoàn Thị Ngân,0
388,Nguyễn Thành Tính,0
389,Trương Thị Mỹ Linh,0
390,Nguyễn Đức Phú,1
391,Nguyễn Tường Vi,0
392,Nguyễn Trần Thức,1
393,Nguyễn Thành Biên,1
394,Trần Ngọc Minh Thư,0
395,Âu Phước Sang,1
396,Phùng Tấn Lợi,1
397,Trương Duy Nhất,1
398,Võ Ngô Thị Hương,0
399,Nguyễn Phương Linh,0
400,Trương Hồng Tiến,1
401,Hoàng Thanh Sơn,1
402,Trần Nguyễn Quốc Tuấn,1
403,Bao Gia Bảo,1
404,Nguyễn Anh Thư,0
405,Nguyễn Thị Minh Chi,0
406,Phạm Thanh Đức,1
407,Trần Văn Thuận,1
408,Nguyễn Lê Hoàng Hùng,1
409,Phạm Kim Thành,1
410,Phạm Khắc Huy,1
411,Nguyễn ý Thuận,0
412,Bùi Thị Xuân Quỳnh,0
413,Trần Thị Ngọc Lanh,0
414,Võ Hạnh Nguyên,0
415,Trương Quang Thi,1
416,Nguyễn Công Tiến,1
417,Phạm Văn Nhanh,1
418,Trịnh Công Hùng,1
419,Nguyễn Thị Mỹ Kiều,0
420,Bùi Danh Tài,1
421,Trương Hưng Huy,1
422,Lê Phúc Hậu,1
423,Trương Thị Tường Vi,0
424,Đỗ Thị Mai,0
425,Trương Khánh Duy,1
426,Hồ Thị Phương Hảo,0
427,Đinh Minh Hiếu,1
428,Nguyễn Chí Tâm,1
429,Ngô Thị Ngọc Tú,0
430,Ngô Tuấn KiỆt,1
431,Nguyễn Thành Thông,1
432,Nguyễn Văn Lý,1
433,Võ Anh Tuấn,1
434,Lê Mạnh Hùng,1
435,Nguyễn Xuân Hương,1
436,So Tấn Lũy,1
437,Phùng Thủy Tiên,0
438,Nguyễn Quốc Phi,1
439,Nguyễn Thị Hằng,0
440,Phan Trường Giang,1
441,Phan Như Ngọc,0
442,Nguyễn Thanh Tú,1
443,Nguyễn Hồng Sơn,1
444,Trần Bảo Toàn Quyền,1
445,Lê Hoàng Vũ,1
446,Lê Tiến Thuận,1
447,Dương Lý Quỳnh Hoa,0
448,Nguyễn Minh Đức,1
449,Lê Quốc Kiên,1
450,Nguyễn Phúc Tín,1
451,Nguyễn Thị Mai Trinh,0
452,Huỳnh Thị Ngọc Minh,0
453,Trần Văn Nam,1
454,Đoàn Huỳnh Ái,0
455,Lê Thúy Bình,0
456,Nguyễn Phúc Lợi,0
457,Võ Huỳnh Như,0
458,Trần PhạmXích Long,1
459,Lâm Phúc Ân,1
460,Lê Gia Ngọc Tâm,1
461,Trần Yến Nhi,0
462,Trần Thị Dân,0
463,Phisron Dương Lan,1
464,Trương Đức Thịnh,1
465,Nguyễn Đức Huy,1
466,Nguyễn Thị Vân,0
467,Ngô Phú Kiệt,1
468,Nguyễn Thị Anh Đào,0
469,Lê Huỳnh Ngọc Mỹ Thúy Vy,0
470,Trần Thị Ngọc Trinh,0
471,Hà Quốc Tiến,1
472,Văn Thị Cẩm Lài,0
473,Nguyễn Thị Minh Thư,0
474,HồVăn Tiến,1
475,Nguyễn Trung Kiên,1
476,Nguyễn Thị Thúy Hằng,0
477,Lê Quang Đức,1
478,Trần Hùng Vương,1
479,Lê Như Toàn,1
480,Nguyễn Xuân Mai,0
481,Huỳnh Thị Bảo Trân,0
482,Đặng Văn Khải,1
483,Trương Trọng Nghĩa,1
484,Nguyễn Minh Nguyệt,0
485,Nguyễn Hoàng Gia Bảo,1
486,Phan Thành Long,0
487,Nguyễn Thị Linh,0
488,Nguyễn Thị Mai Trinh,0
489,Nguyễn Thanh Thảo,0
490,Trần Thị Thanh Liễu,1
491,Kpă Việt,1
492,Nguyễn Thị Hồng Loan,0
493,Thiên Sanh Du,1
494,Trần Thị Như Ngọc,0
495,Đinh Thị Trúc Linh,0
496,Lê Hoài,1
497,Ngư Thị Kim Đương,0
498,Văn Thị Thanh Hằng,0
499,Ngô Xuân Dũng,1
500,Nguyê Thi My Duyên,0
501,Ngưu Thị Thanh Thúy,0
502,Mai Bá Minh,1
503,Nguyễn Ngọc Hóa,1
504,Nguyễn Văn Thái An,1
505,Nguyễn Trọng Thiên,1
506,Phạm Thị Huân,0
507,Trần Sỹ Lợi,1
508,Phạm Hồng Trang,0
509,Võ Thị Hải YẾn,0
510,Nguyễn Đức Thông,1
511,Mai Thị Minh Hải,0
512,Trương Nhật Tiến,1
513,Lê Thị Huỳnh Thư,0
514,Ngô Thị Thanh Tâm,0
515,Bùi Anh Hào,1
516,Phạm Hoàng Ánh Dương,0
517,Nguyễn Thị Tâm,0
518,Đặng Hoàng Yến Quyên,0
519,Vũ Nguyễn Phương Uyên,0
520,Võ Trọng Tài,1
521,Nguyễn Thị Lan Trinh,0
522,Hoàng Thanh Vương,1
523,Nguyễn Thị Ngọc Nga,0
524,Nguyễn Thành Mỹ,1
525,Lưu Ngọc Ánh,0
526,Trần Minh Tiến,1
527,Nguyễn Văn Khải,1
528,Lê Thị Ánh Vy,0
529,Trần Nguyễn Thúy Vy,0
530,Đỗ Tài,1
531,Trần Phước An,1
532,Nguyễn Thị Khánh Linh,0
533,Nguyễn Đăng Tuấn Dũng,1
534,Huỳnh Quốc Hùng,1
535,Nguyễn Quang Thìn,1
536,Trịnh Hoài Anh Tú,1
537,Huỳnh Minh Trọng,1
538,Nguyễn Phi Long,1
539,PhạmVăn TiỆp,1
540,Nguyễn Duy Minh,1
541,Nguyễn Võ Thanh Loan,0
542,Nguyễn Khắc Minh Quốc,1
543,Đèo Quốc Đạt,1
544,Phạm Thị Thu Huyền,0
545,Nguyễn Thị Hồng Thu,0
546,Phạm Hoàng Huynh,1
547,Võ Quang Luật,1
548,Lâm Văn Tý,1
549,Ngô Thiện Bảo Châu,0
550,Trịnh Nhật Tân,1
551,Nguyễn Thị Hiền,0
552,Nguyễn Văn Hùng,1
553,Lương Văn Tây,1
554,Võ Đinh Ngọc Huyền,0
555,Nguyễn Thái Minh,0
556,Nguyễn Trung Nghĩa,1
557,Trần Thị Thanh Được,0
558,Nguyễn Thị Tường Vân,0
559,Bùi Đoàn Anh Duy,1
560,Hoàng Đình Hiếu,1
561,Nguyễn Ngọc Anh Thư,0
562,Lê Trịnh Bỉnh Khiêm,1
563,HỨa Văn Thuần,1
564,Nguyễn Thị Xuân Nhi,0
565,Trần Anh Duy,1
566,Trần Đình Khang,1
567,Lê Nguyễn Xuân Trang,0
568,Phạm Tấn Đạt,1
569,Hồng Ngọc Khuê,1
570,Hồ Thịnh,1
571,Trần Thị Kim Thu,0
572,Nguyễn Hữu Khang,1
573,Hoàng Đức Minh,1
574,Phạm Thị Thanh Hằng,0
575,Huỳnh Ngọc Thúy Vy,0
576,Võ Thanh Tra,1
577,Nguyễn Minh Tú,1
578,Nguyễn Gia Thuật,1
579,Huỳnh Văn Hoàng,1
580,Nguyễn Thị Tuyết Ngân,0
581,Đoàn Minh Mẫn,1
582,Phan Lê Kim Phượng,0
583,Nguyễn Trường Hận,1
584,Phan Xuân Quí,1
585,Huỳnh Thị Sương,0
586,Trương Ngọc Diễm Quyên,0
587,Lưu Văn Tình,1
588,Ê ste Konsơ,0
589,Nguyễn Trung Huy Hoàng,1
590,Nguyễn Thị Thúy Kiều,0
591,Trương Ngọc Trung,1
592,Nguyễn Hồng Phúc,0
593,LỮ Thị Như Ý,0
594,Phạm Quang Tuấn,1
595,Nguyễn Thị Thùy Trang,0
596,Trần Thị Ngọc Linh,0
597,Nguyễn Thị Thùy Dương,0
598,Lê Phúc Khang,1
599,Trần Khắc Sinh,1
600,Phạm Ngọc Thái,1
601,Lê Thị Hằng,0
602,Dương Khải Tường,1
603,Hoàng Gia Lâm,1
604,Đặng Phương Tân,1
605,Nguyễn Văn Phú,1
606,Vũ Anh Hào,1
607,Nguyễn Thị Thanh Hồng,0
608,Nguyễn Minh Phúc,1
609,Trần Phương Mai,0
610,Trần Công Hậu,1
611,Vũ Văn Tuân,1
612,Lê Quang Nha,1
613,Ngô Đăng Hiệp,1
614,Trịnh Tuấn Anh,1
615,Phan Nguyễn Như Quỳnh,0
616,Mai Lê Chí Thành,1
617,Nguyễn Thị HẠ Vy,0
618,Nguyễn Trần Trung Hiếu,1
619,Trương Vĩnh Ký,1
620,Trần Kim Khôi Nguyên,1
621,Lâm Ngọc Ẩn,1
622,Kim Thị Bạch Tuyết,0
623,Huỳnh Ngọc Bảo,1
624,Tô Thị Thuý Anh,0
625,Bùi Anh Tuấn,1
626,Nguyễn Thị Thanh Thảo,0
627,Nguyễn Thành Vinh,1
628,Phan Thị Kim Ngân,0
629,Nguyễn Thanh Phương,1
630,Lê Trần Ánh Truyên,0
631,Trần Công Danh,1
632,Nguyễn Trần Quốc Nam,1
633,Ngô Gia Lãm,1
634,Võ Thị Thu Viên,0
635,LẠi Nguyễn NhẤt Sang,1
636,Phạm Văn Hạnh,1
637,Lê Thành Vũ,1
638,Nguyễn Thanh Hùng,1
639,Nguyễn Thị Ngọc Tuyền,0
640,Nguyễn Thị Thùy Linh,0
641,Hồ Thị Thu Hương,0
642,Võ Thiện Long,1
643,Lê Thị Mỹ Huyền,0
644,Đỗ Viết Hùng,1
645,Lợi Mai Công Trung,1
646,Nguyê Công Phu,1
647,Bùi Xuân Mỹ Duyên,0
648,Vũ Khắc Hợi,1
649,Trương Công Sinh,1
650,Lã Thị Thu Hà,0
651,Lê Thanh Tuấn,1
652,Đặng Nguyễn Thùy Nguyên,0
653,Vũ Trung Trực,1
654,Bùi Thị Thảo Nhi,0
655,Võ Văn Tài Triển,1
656,Nguyễn Thị Bích Liễu,0
657,Nguyễn Minh Trung,1
658,Trần Phương Duy,1
659,Trần Duy Khiêm,1
660,Nguyễn Thanh Vân,0
661,Nguyễn Đức Nguyện,1
662,Lê Thị Kim Anh,0
663,Đỗ Quốc Vinh,1
664,Nguyễn Thành Công,1
665,Nguyễn Anh Đào,1
666,Chu Minh Yến Tâm,1
667,Lê Anh Triều,1
668,Đặng Thị Diễm My,0
669,Thạch Thanh Tuấn,1
670,Trịnh Thị Ngọc Lành,0
671,Nguyễn Phong Phú,1
672,Lê Văn Hạnh,1
673,Lê Đình Tuấn,1
674,Trần Hồng Lực,1
675,Nguyễn Xuân Bình,1
676,Đinh Đức Hùng,1
677,Trần Thị Thu Thảo,0
678,Nguyễn Thanh Trường Thịnh,1
679,Nguyễn Ngọc Hùng,1
680,Dương Tuấn Bảo,1
681,Nguyễn Thị Ngọc Oanh,0
682,Nguyễn Thị Thu Thủy,0
683,Nguyễn Thanh Hiền,1
684,Dương Thị Trà My,0
685,Nguyễn Tuyết Nhi,0
686,Nguyễn Hoàng Vũ,1
687,Trần Thanh Hoa,0
688,Phan Thế Anh,1
689,Nguyễn Vũ Hoàng Duy,1
690,Nguyễn Văn Dũng,1
691,Võ Thị Thanh Tâm,0
692,Nguyễn Thị Giang,0
693,Phan Chí Bảo,1
694,Đào Văn Huy,1
695,Phạm Minh Tuyên,0
696,Nguyễn Dương Bá Phú,1
697,Phạm Minh Tuấn,1
698,Vũ Minh Lợi,1
699,Đinh Quốc Tuấn,1
700,Nguyễn Trần Tuấn Vũ,1
701,Hà Thanh Duy,1
702,Trần Phước Hoàng,1
703,Nguyễn Cảnh Liêm,1
704,Hồ Thị Mỹ Hạnh,0
705,Nguyễn Xuân Lộc,1
706,Phạm Thị Kim Ngân,0
707,Trần Thị Bích Ngọc,0
708,Huỳnh Ngọc Đủ,1
709,Nguyễn Minh Thúy,0
710,Phạm Thị Kim Vui,0
711,Nguyễn Minh Nhựt Tân,1
712,Phạm Minh Phương,1
713,Ngô Thị Minh Thư,0
714,Dương Ngọc Ni,0
715,Lê Uyên Thư,0
716,Lê Vĩnh Quốc Thịnh,1
717,Lê Tuấn Hiền,1
718,Trần Quang Vũ,1
719,Phan Ngọc Anh,1
720,Phạm Đức Trọng,1
721,Trần Huỳnh Khánh Vy,0
722,Nguyễn Lương Kiên,1
723,Nguyễn Cao Mỹ Uyên,0
724,Nguyễn Thị Tố Uyên,0
725,Châu Ngọc Đỗ Quyên,0
726,Nguyễn Đăng Huy,1
727,Trần Mỹ Oanh,0
728,Dương Hạnh Thùy,0
729,Nguyễn Quốc Vũ,1
730,Kiều Minh Ngọc,0
731,Mai Lê Thanh Dương,1
732,Cao Tuấn Kiệt,1
733,Hoàng Phương Nam,1
734,Nguyễn Thị Thanh Tuyền,0
735,Nguyễn Phúc Hậu,1
736,Lê Dương Khánh Việt,1
737,Hà Thị Thanh Như,0
738,Nguyễn Thị Trúc Linh,0
739,Phạm Thanh Nga,0
740,Nguyễn Xuân Trường,1
741,TrươngThị Kim Hương,0
742,Nguyễn Thị Bích Diễm,0
743,Trần Thị Mỹ Dung,0
744,Võ Thị Ngọc Huyên,0
745,Đổ Gia Lạc,1
746,Lý Thị Thu Thảo,0
747,Be Na Zi,0
748,Trần Lê Vi,0
749,Phan Duy Bình,1
750,Nguyễn Thị Thùy Dương,0
751,Vưu Khánh Duy,1
752,Đinh Thị Huyền Chinh,0
753,Trần Đức Trung,1
754,Nguyễn Hoàng Quân,1
755,Đào Công Nhật Tân,1
756,Đỗ Thị Hải,0
757,Nguyễn Văn ĐỊnh,1
758,Nguyễn Hoàng Long,1
759,Nguyễn Minh Tày,1
760,Nguyễn Lê Hồng Ngân,0
761,Nguyễn Thị Bình Nguyên,0
762,Phan Thanh Hoàng,1
763,Phạm Thanh Quang,1
764,Khổng Quỳnh Mai,0
765,Nguyễn Thị Diễm Mi,0
766,Đặng Bảo Toàn,1
767,Trần Đức Long,1
768,Chu Anh Tuấn,1
769,Vi Ngọc Mai Hạnh,0
770,Trần Nguyễn Trúc My,0
771,Hồ Quốc Đại,1
772,Nguyễn Hoàng Tâm,1
773,Trương Nguyễn Huy Vũ,1
774,Trần Nguyễn Thành Phẫm,1
775,Hoàng Công Minh,1
776,Hồ Quang Cảnh,1
777,Phạm Ngô Hoàng Sinh,1
778,Nguyễn Trần Long,1
779,Hà Thị Yến,0
780,Trương Thị Mỹ Hiệp,0
